"Player Name","Player Team","Player Position","DS Rank","Consensus: Redraft 0.5 PPR ADP","Consensus: Redraft 0.5 PPR ADP Market Index","Sleeper: Redraft 0.5 PPR ADP","Sleeper: Redraft 0.5 PPR ADP Market Index"
"Jahmyr Gibbs","DET","RB","1","1.1","0","1.1","0"
"Bijan Robinson","ATL","RB","2","1.2","0","1.2","0"
"Puka Nacua","LAR","WR","3","1.4","1","1.4","1"
"Ja'Marr Chase","CIN","WR","4","1.3","-1","1.3","-1"
"Christian McCaffrey","SF","RB","5","1.5","0","1.5","0"
"Jaxon Smith-Njigba","SEA","WR","6","1.6","0","1.7","1"
"Amon-Ra St. Brown","DET","WR","7","1.8","1","1.8","1"
"Jonathan Taylor","IND","RB","8","1.7","-1","1.6","-2"
"CeeDee Lamb","DAL","WR","9","1.10","1","1.10","1"
"James Cook","BUF","RB","10","1.9","-1","1.9","-1"
"Justin Jefferson","MIN","WR","11","1.11","0","1.11","0"
"Ashton Jeanty","LVR","RB","12","1.12","0","1.12","0"
"Saquon Barkley","PHI","RB","13","2.1","0","2.1","0"
"Drake London","ATL","WR","14","2.7","5","2.7","5"
"Derrick Henry","BAL","RB","15","2.6","3","2.5","2"
"Nico Collins","HOU","WR","16","2.10","6","2.12","8"
"A.J. Brown","NE","WR","17","2.8","3","2.8","3"
"Kenneth Walker III","KC","RB","18","2.5","-1","2.6","0"
"George Pickens","DAL","WR","19","2.12","5","3.2","7"
"Josh Allen","BUF","QB","20","3.2","6","2.11","3"
"Rashee Rice","KC","WR","21","3.3","6","3.4","7"
"De'Von Achane","MIA","RB","22","2.4","-6","2.4","-6"
"Omarion Hampton","LAC","RB","23","2.3","-8","2.2","-9"
"Chase Brown","CIN","RB","24","2.2","-10","2.3","-9"
"Brock Bowers","LVR","TE","25","2.9","-4","2.9","-4"
"Trey McBride","ARI","TE","26","2.11","-3","2.10","-4"
"Malik Nabers","NYG","WR","27","3.5","2","3.7","4"
"Tee Higgins","CIN","WR","28","3.12","8","4.1","9"
"Zay Flowers","BAL","WR","29","4.2","9","4.7","14"
"Jeremiyah Love","ARI","RB","30","3.1","-5","3.1","-5"
"Chris Olave","NO","WR","31","3.6","-1","3.8","1"
"Colston Loveland","CHI","TE","32","4.8","12","4.8","12"
"DeVonta Smith","PHI","WR","33","3.9","0","3.11","2"
"Josh Jacobs","GB","RB","34","3.8","-2","3.5","-5"
"Breece Hall","NYJ","RB","36","3.7","-5","3.6","-6"
"Garrett Wilson","NYJ","WR","37","4.5","4","4.3","2"
"Javonte Williams","DAL","RB","38","3.10","-4","3.9","-5"
"Christian Watson","GB","WR","39","6.5","26","6.6","27"
"Jaylen Waddle","DEN","WR","41","4.9","4","4.11","6"
"Kyren Williams","LAR","RB","42","3.4","-14","3.3","-15"
"Tyler Warren","IND","TE","43","5.5","10","5.2","7"
"Davante Adams","LAR","WR","44","5.8","12","5.10","14"
"Travis Etienne","NO","RB","45","4.7","-2","4.6","-3"
"Tetairoa McMillan","CAR","WR","46","3.11","-11","3.10","-12"
