"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Jahmyr Gibbs","DET","RB","RB","1.01","1.02","1.01","1.01","1.01"
"[object Object]","Bijan Robinson","ATL","RB","RB","1.02","1.02","1.02","1.02","1.02"
"[object Object]","Ja'Marr Chase","CIN","WR","WR","1.04","1.04","1.04","1.03","1.03"
"[object Object]","Puka Nacua","LAR","WR","WR","1.05","1.05","1.05","1.05","1.04"
"[object Object]","Christian McCaffrey","SF","RB","RB","1.06","1.05","1.07","1.06","1.06"
"[object Object]","Jaxon Smith-Njigba","SEA","WR","WR","1.06","1.07","1.06","1.07","1.06"
"[object Object]","Jonathan Taylor","IND","RB","RB","1.07","1.07","1.08","1.07","1.08"
"[object Object]","Amon-Ra St. Brown","DET","WR","WR","1.08","1.08","1.08","1.08","1.07"
"[object Object]","CeeDee Lamb","DAL","WR","WR","1.10","1.11","1.11","1.10","1.10"
"[object Object]","James Cook III","BUF","RB","RB","1.10","1.10","1.12","1.10","1.10"
"[object Object]","Justin Jefferson","MIN","WR","WR","1.12","2.01","1.12","2.01","1.11"
"[object Object]","Saquon Barkley","PHI","RB","RB","2.01","1.12","2.04","1.12","2.01"
"[object Object]","De'Von Achane","MIA","RB","RB","2.02","2.02","1.12","2.04","2.05"
"[object Object]","Ashton Jeanty","LV","RB","RB","2.03","2.02","2.05","2.02","2.04"
"[object Object]","Derrick Henry","BAL","RB","RB","2.06","2.04","2.07","2.06","2.05"
"[object Object]","Kenneth Walker","KC","RB","RB","2.06","2.07","2.10","2.04","2.02"
"[object Object]","Chase Brown","CIN","RB","RB","2.06","2.06","2.10","2.04","2.02"
"[object Object]","Omarion Hampton","LAC","RB","RB","2.07","2.03","3.02","2.07","2.04"
"[object Object]","Drake London","ATL","WR","WR","2.08","2.08","2.07","2.07","2.10"
"[object Object]","Brock Bowers","LV","TE","TE","2.10","2.11","2.12","2.09","2.08"
"[object Object]","A.J. Brown","NE","WR","WR","2.10","2.08","3.03","3.01","2.06"
"[object Object]","Nico Collins","HOU","WR","WR","2.12","2.11","3.03","2.10","2.10"
"[object Object]","Josh Allen","BUF","QB","QB","3.01","2.09","2.10","2.08","4.01"
"[object Object]","Trey McBride","ARI","TE","TE","3.01","2.12","2.09","3.02","3.05"
"[object Object]","George Pickens","DAL","WR","WR","3.01","3.01","3.07","2.10","2.12"
"[object Object]","Jeremiyah Love","ARI","RB","RB","3.03","3.03","2.11","3.04","3.06"
"[object Object]","Rashee Rice","KC","WR","WR","3.04","3.05","2.10","3.11","3.03"
"[object Object]","Malik Nabers","NYG","WR","WR","3.06","3.06","3.10","3.08","2.11"
"[object Object]","Chris Olave","NO","WR","WR","3.06","3.07","3.07","3.09","3.02"
"[object Object]","Kyren Williams","LAR","RB","RB","3.08","3.03","4.06","3.05","3.06"
"[object Object]","DeVonta Smith","PHI","WR","WR","3.09","3.10","4.05","3.06","3.04"
"[object Object]","Breece Hall","NYJ","RB","RB","3.09","3.09","3.10","3.11","3.08"
"[object Object]","Javonte Williams","DAL","RB","RB","3.10","3.10","3.12","3.11","3.10"
"[object Object]","Josh Jacobs","GB","RB","RB","3.11","3.03","4.01","3.09","4.06"
"[object Object]","Zay Flowers","BAL","WR","WR","4.01","4.05","4.05","3.12","3.07"
"[object Object]","Tetairoa McMillan","CAR","WR","WR","4.04","3.12","4.06","4.06","4.05"
"[object Object]","Tee Higgins","CIN","WR","WR","4.05","4.02","5.08","3.10","3.11"
"[object Object]","Lamar Jackson","BAL","QB","QB","4.06","3.10","4.03","4.02","5.08"
"[object Object]","Emeka Egbuka","TB","WR","WR","4.06","4.04","4.12","4.08","3.12"
"[object Object]","Ladd McConkey","LAC","WR","WR","4.06","4.03","5.03","4.10","3.09"
"[object Object]","Travis Etienne Jr.","NO","RB","RB","4.06","4.06","4.08","4.07","4.04"
"[object Object]","Garrett Wilson","NYJ","WR","WR","4.06","4.08","3.12","5.01","4.03"
"[object Object]","Cam Skattebo","NYG","RB","RB","4.06","4.01","4.08","4.06","4.11"
"[object Object]","Colston Loveland","CHI","TE","TE","4.07","4.07","4.09","4.04","4.08"
"[object Object]","Jaylen Waddle","DEN","WR","WR","4.10","4.11","5.09","4.06","4.01"
"[object Object]","D'Andre Swift","CHI","RB","RB","5.03","5.01","6.05","4.11","4.08"
"[object Object]","Davante Adams","LAR","WR","WR","5.04","5.07","4.10","5.06","5.04"
"[object Object]","Bucky Irving","TB","RB","RB","5.04","4.09","5.06","5.07","5.06"
"[object Object]","Quinshon Judkins","CLE","RB","RB","5.05","4.12","5.07","5.05","5.06"
"[object Object]","Tyler Warren","IND","TE","TE","5.05","5.03","5.02","4.11","6.03"
"[object Object]","Drake Maye","NE","QB","QB","5.05","5.04","4.11","4.11","6.07"
"[object Object]","Terry McLaurin","WAS","WR","WR","5.06","5.05","5.12","5.06","5.01"
"[object Object]","David Montgomery","HOU","RB","RB","5.06","4.11","6.10","5.04","4.11"
"[object Object]","Joe Burrow","CIN","QB","QB","5.10","5.07","5.11","5.01","6.08"
"[object Object]","DJ Moore","BUF","WR","WR","5.10","5.07","6.03","6.02","5.05"
"[object Object]","Luther Burden III","CHI","WR","WR","5.12","5.10","7.05","5.11","4.09"
"[object Object]","Jayden Daniels","WAS","QB","QB","5.12","6.05","5.03","5.06","6.09"
"[object Object]","Jameson Williams","DET","WR","WR","5.12","5.10","6.07","6.06","5.03"
"[object Object]","Jalen Hurts","PHI","QB","QB","6.01","6.03","5.03","5.09","6.12"
"[object Object]","Bhayshul Tuten","JAX","RB","RB","6.01","6.01","7.01","6.03","5.02"
"[object Object]","TreVeyon Henderson","NE","RB","RB","6.03","5.03","7.06","6.03","5.12"
"[object Object]","Rome Odunze","CHI","WR","WR","6.03","6.02","6.05","6.08","5.10"
"[object Object]","Jadarian Price","SEA","RB","RB","6.05","5.11","7.05","6.06","5.12"
"[object Object]","Mike Evans","SF","WR","WR","6.08","6.02","8.10","6.07","5.03"
"[object Object]","Carnell Tate","TEN","WR","WR","6.12","6.08","7.06","7.08","6.03"
"[object Object]","Christian Watson","GB","WR","WR","6.12","6.08","8.12","6.08","5.09"
