Rank,Player (Bye),POS,Sleeper,RTSports,AVG,Real-Time
1,Jahmyr Gibbs   DET (6),RB1,2,1,1.5,1
2,Bijan Robinson   ATL (11),RB2,1,2,1.5,3  -1
3,Ja'Marr Chase   CIN (6),WR1,6,3,4.5,2  +1
4,Christian McCaffrey   SF (8),RB3,4,5,4.5,5  -1
5,Jonathan Taylor   IND (13),RB4,3,7,5.0,6  -1
6,Puka Nacua   LAR (11),WR2,9,4,6.5,4  +2
7,James Cook III   BUF (7),RB5,5,10,7.5,8  -1
8,Jaxon Smith-Njigba   SEA (11),WR3,10,6,8.0,7  +1
9,De'Von Achane   MIA (6),RB6,8,11,9.5,14  -5
10,Ashton Jeanty   LV (13),RB7,11,9,10.0,18  -8
11,Amon-Ra St. Brown   DET (6),WR4,18,8,13.0,9  +2
12,Omarion Hampton   LAC (7),RB8,12,16,14.0,17  -5
13,Derrick Henry   BAL (13),RB9,7,22,14.5,12  +1
14,Saquon Barkley   PHI (10),RB10,14,15,14.5,11  +3
15,CeeDee Lamb   DAL (14),WR5,15,14,14.5,10  +5
16,Chase Brown   CIN (6),RB11,19,12,15.5,16
17,Justin Jefferson   MIN (6),WR6,20,13,16.5,15  +2
18,Josh Allen   BUF (7),QB1,16,18,17.0,21  -3
19,Kenneth Walker III   KC (5),RB12,24,17,20.5,13  +6
20,Trey McBride   ARI (14),TE1,23,19,21.0,26  -6
21,Drake London   ATL (11),WR7,21,21,21.0,20  +1
22,Kyren Williams   LAR (11),RB13,13,31,22.0,25  -3
23,Jeremiyah Love   ARI (14),RB14,17,29,23.0,32  -9
24,Josh Jacobs   GB (11),RB15,22,30,26.0,30  -6
25,Brock Bowers   LV (13),TE2,29,23,26.0,23  +2
26,Nico Collins   HOU (8),WR8,26,26,26.0,22  +4
27,George Pickens   DAL (14),WR9,28,25,26.5,24  +3
28,A.J. Brown   NE (11),WR10,34,20,27.0,19  +9
29,Chris Olave   NO (8),WR11,31,24,27.5,28  +1
30,Malik Nabers   NYG (8),WR12,30,28,29.0,27  +3
31,Javonte Williams   DAL (14),RB16,32,27,29.5,29  +2
32,Breece Hall   NYJ (13),RB17,27,32,29.5,35  -3
33,Lamar Jackson   BAL (13),QB2,25,43,34.0,38  -5
34,Rashee Rice   KC (5),WR13,35,33,34.0,33  +1
35,Travis Etienne Jr.   NO (8),RB18,36,38,37.0,37  -2
36,Bucky Irving   TB (10),RB19,33,42,37.5,51  -15
37,Garrett Wilson   NYJ (13),WR14,39,41,40.0,46  -9
38,Cam Skattebo   NYG (8),RB20,42,39,40.5,45  -7
39,Quinshon Judkins   CLE (11),RB21,45,37,41.0,50  -11
40,Tetairoa McMillan   CAR (5),WR15,38,44,41.0,40
41,Tee Higgins   CIN (6),WR16,37,48,42.5,36  +5
42,Zay Flowers   BAL (13),WR17,52,35,43.5,34  +8
43,Luther Burden III   CHI (10),WR18,41,47,44.0,57  -14
44,DeVonta Smith   PHI (10),WR19,55,36,45.5,31  +13
45,TreVeyon Henderson   NE (11),RB22,40,52,46.0,62  -17
46,Ladd McConkey   LAC (7),WR20,48,45,46.5,41  +5
47,Colston Loveland   CHI (10),TE3,47,46,46.5,42  +5
48,Bhayshul Tuten   JAC (7),RB23,44,51,47.5,54  -6
49,DJ Moore   BUF (7),WR21,62,34,48.0,48  +1
50,Jaylen Waddle   DEN (10),WR22,43,53,48.0,39  +11
51,Emeka Egbuka   TB (10),WR23,57,40,48.5,44  +7
52,David Montgomery   HOU (8),RB24,50,49,49.5,47  +5
53,D'Andre Swift   CHI (10),RB25,49,50,49.5,43  +10
54,Davante Adams   LAR (11),WR24,46,61,53.5,55  -1
55,Drake Maye   NE (11),QB3,51,57,54.0,49  +6
56,Joe Burrow   CIN (6),QB4,56,56,56.0,56
57,Jameson Williams   DET (6),WR25,54,59,56.5,60  -3
58,Tyler Warren   IND (13),TE4,60,55,57.5,53  +5
59,Terry McLaurin   WAS (7),WR26,58,58,58.0,52  +7
60,Jaylen Warren   PIT (9),RB26,53,67,60.0,67  -7
61,Mike Evans   SF (8),WR27,63,63,63.0,65  -4
62,RJ Harvey   DEN (10),RB27,59,70,64.5,94  -32
63,Rhamondre Stevenson   NE (11),RB28,61,71,66.0,69  -6
64,Harold Fannin Jr.   CLE (11),TE5,67,65,66.0,76  -12
65,Rome Odunze   CHI (10),WR28,73,60,66.5,61  +4
66,Jayden Daniels   WAS (7),QB5,71,62,66.5,63  +3
67,Rico Dowdle   PIT (9),RB29,70,68,69.0,82  -15
68,Christian Watson   GB (11),WR29,69,69,69.0,64  +4
69,Jadarian Price   SEA (11),RB30,86,54,70.0,58  +11
70,Jalen Hurts   PHI (10),QB6,76,64,70.0,59  +11
71,Tony Pollard   TEN (9),RB31,68,77,72.5,75  -4
72,Carnell Tate   TEN (9),WR30,64,82,73.0,78  -6
73,Parker Washington   JAC (7),WR31,81,66,73.5,68  +5
74,Tucker Kraft   GB (11),TE6,77,74,75.5,66  +8
75,Michael Wilson   ARI (14),WR32,82,72,77.0,89  -14
76,Kyle Monangai   CHI (10),RB32,65,91,78.0,99  -23
77,Courtland Sutton   DEN (10),WR33,78,81,79.5,86  -9
78,Brian Thomas Jr.   JAC (7),WR34,84,78,81.0,77  +1
79,J.K. Dobbins   DEN (10),RB33,75,88,81.5,83  -4
80,Chuba Hubbard   CAR (5),RB34,72,92,82.0,90  -10
81,Kyle Pitts Sr.   ATL (11),TE7,79,87,83.0,74  +7
82,Blake Corum   LAR (11),RB35,74,93,83.5,88  -6
83,DK Metcalf   PIT (9),WR35,80,89,84.5,80  +3
84,Marvin Harrison Jr.   ARI (14),WR36,89,83,86.0,72  +12
85,Caleb Williams   CHI (10),QB7,97,76,86.5,71  +14
86,Sam LaPorta   DET (6),TE8,85,90,87.5,70  +16
87,Chris Godwin Jr.   TB (10),WR37,95,84,89.5,87
88,Justin Herbert   LAC (7),QB8,94,86,90.0,79  +9
89,Trevor Lawrence   JAC (7),QB9,102,79,90.5,84  +5
90,Jordyn Tyson   NO (8),WR38,66,119,92.5,132  -42
91,Dak Prescott   DAL (14),QB10,107,80,93.5,73  +18
92,Jaxson Dart   NYG (8),QB11,91,97,94.0,100  -8
93,Kenny Gainwell   TB (10),RB36,93,96,94.5,110  -17
94,Wan'Dale Robinson   TEN (9),WR39,116,75,95.5,124  -30
95,Jordan Mason   MIN (6),RB37,110,85,97.5,91  +4
96,Jakobi Meyers   JAC (7),WR40,83,115,99.0,125  -29
97,Jacory Croskey-Merritt   WAS (7),RB38,103,95,99.0,92  +5
98,Dalton Kincaid   BUF (7),TE9,88,120,104.0,97  +1
99,Aaron Jones Sr.   MIN (6),RB39,92,116,104.0,118  -19
100,Alec Pierce   IND (13),WR41,101,108,104.5,95  +5
101,George Kittle   SF (8),TE10,109,104,106.5,85  +16
102,Jordan Addison   MIN (6),WR42,108,106,107.0,101  +1
103,Travis Kelce   KC (5),TE11,117,100,108.5,93  +10
104,Michael Pittman Jr.   PIT (9),WR43,119,101,110.0,112  -8
105,Isaiah Likely   NYG (8),TE12,127,94,110.5,114  -9
106,Jake Ferguson   DAL (14),TE13,105,117,111.0,128  -22
107,Patrick Mahomes II   KC (5),QB12,112,111,111.5,115  -8
108,Mark Andrews   BAL (13),TE14,104,121,112.5,119  -11
109,Josh Downs   IND (13),WR44,125,102,113.5,98  +11
110,Tyler Allgeier   ARI (14),RB40,96,132,114.0,129  -19
111,Brock Purdy   SF (8),QB13,118,110,114.0,104  +7
112,Woody Marks   HOU (8),RB41,115,113,114.0,133  -21
113,Quentin Johnston   LAC (7),WR45,123,107,115.0,102  +11
114,Zach Charbonnet   SEA (11),RB42,111,125,118.0,143  -29
115,Bo Nix   DEN (10),QB14,138,99,118.5,108  +7
116,Brian Robinson Jr.   ATL (11),RB43,87,151,119.0,154  -38
117,Matthew Stafford   LAR (11),QB15,133,105,119.0,106  +11
118,Dallas Goedert   PHI (10),TE15,100,139,119.5,113  +5
119,Stefon Diggs   WAS (7),WR46,130,109,119.5,96  +23
120,Rachaad White   WAS (7),RB44,142,98,120.0,120
121,Juwan Johnson   NO (8),TE16,113,127,120.0,142  -21
122,Jonathon Brooks   CAR (5),RB45,169,73,121.0,81  +41
123,Jayden Reed   GB (11),WR47,135,112,123.5,105  +18
124,Tyrone Tracy Jr.   NYG (8),RB46,122,126,124.0,156  -32
125,Hunter Henry   NE (11),TE17,98,154,126.0,149  -24
126,Jared Goff   DET (6),QB16,155,103,129.0,126
127,Tyjae Spears   TEN (9),RB47,140,122,131.0,150  -23
128,Romeo Doubs   NE (11),WR48,131,131,131.0,134  -6
