"Rk","","Player","Team","Position","ADP","Bye","FPTS","Notes","Grp"
"1","","Jahmyr Gibbs","DET","RB","1.80","6","344.0","",""
"2","","Bijan Robinson","ATL","RB","2.04","11","333.0","",""
"3","","Ja'Marr Chase","CIN","WR","2.99","6","271.0","",""
"4","","Puka Nacua","LAR","WR","3.90","11","276.0","",""
"5","","Jaxon Smith-Njigba","SEA","WR","4.99","11","279.0","",""
"6","","Christian McCaffrey","SF","RB","6.51","8","282.0","",""
"7","","Amon-Ra St. Brown","DET","WR","6.65","6","256.0","",""
"8","","Jonathan Taylor","IND","RB","7.61","13","290.0","",""
"9","","Brock Bowers","LV","TE","17.98","13","200.0","",""
"10","","Drake London","ATL","WR","20.95","11","232.0","",""
"11","","Trey McBride","ARI","TE","24.01","14","187.0","",""
"12","","Devon Achane","MIA","RB","15.69","6","251.0","",""
"13","","Justin Jefferson","MIN","WR","11.86","6","224.0","",""
"14","","CeeDee Lamb","DAL","WR","11.04","14","225.0","",""
"15","","A.J. Brown","NE","WR","19.05","11","207.0","",""
"16","","Ashton Jeanty","LV","RB","12.77","13","234.0","",""
"17","","Chase Brown","CIN","RB","13.98","6","241.0","",""
"18","","Chris Olave","NO","WR","24.33","8","201.0","",""
"19","","James Cook","BUF","RB","9.62","7","253.0","",""
"20","","Omarion Hampton","LAC","RB","16.85","7","230.0","",""
"21","","Saquon Barkley","PHI","RB","14.65","10","245.0","",""
"22","","Colston Loveland","CHI","TE","38.49","10","176.0","",""
"23","","Derrick Henry","BAL","RB","20.74","13","259.0","",""
"24","","Kenneth Walker III","KC","RB","14.50","5","231.0","",""
"25","","Rashee Rice","KC","WR","28.16","5","209.0","",""
"26","","George Pickens","DAL","WR","24.03","14","214.0","",""
"27","","Nico Collins","HOU","WR","23.76","8","210.0","",""
"28","","Josh Allen","BUF","QB","26.80","7","358.0","",""
"29","","Josh Jacobs","GB","RB","41.38","11","227.0","",""
"30","","Jeremiyah Love","ARI","RB","33.26","14","219.0","",""
"31","","Kyren Williams","LAR","RB","31.43","11","215.0","",""
"32","","Breece Hall","NYJ","RB","36.21","13","209.0","",""
"33","","DeVonta Smith","PHI","WR","29.62","10","184.0","",""
"34","","Malik Nabers","NYG","WR","25.54","8","197.0","",""
"35","","Tee Higgins","CIN","WR","39.24","6","187.0","",""
"36","","Tyler Warren","IND","TE","54.31","13","154.0","",""
"37","","Zay Flowers","BAL","WR","31.38","13","199.0","",""
"38","","Javonte Williams","DAL","RB","33.15","14","215.0","",""
"39","","Cam Skattebo","NYG","RB","44.36","8","217.0","",""
"40","","Garrett Wilson","NYJ","WR","40.22","13","202.0","",""
"41","","Tetairoa McMillan","CAR","WR","43.03","5","196.0","",""
"42","","Emeka Egbuka","TB","WR","37.37","10","195.0","",""
"43","","Kyle Pitts","ATL","TE","83.61","11","159.0","",""
"44","","Travis Etienne","NO","RB","40.94","8","210.0","",""
"45","","Harold Fannin Jr.","CLE","TE","88.07","11","156.0","",""
"46","","D'Andre Swift","CHI","RB","47.78","10","218.0","",""
"47","","Ladd McConkey","LAC","WR","35.51","7","186.0","",""
"48","","Jameson Williams","DET","WR","53.15","6","187.0","",""
"49","","Davante Adams","LAR","WR","54.47","11","183.0","",""
"50","","Terry McLaurin","WSH","WR","52.99","7","178.0","",""
"51","","Sam LaPorta","DET","TE","82.88","6","139.0","",""
"52","","Bucky Irving","TB","RB","55.16","10","197.0","",""
"53","","Quinshon Judkins","CLE","RB","53.46","11","199.0","",""
"54","","Tucker Kraft","GB","TE","72.46","11","148.0","",""
"55","","Dallas Goedert","PHI","TE","124.28","10","151.0","",""
"56","","Travis Kelce","KC","TE","108.25","5","140.0","",""
"57","","Rome Odunze","CHI","WR","56.67","10","173.0","",""
"58","","Lamar Jackson","BAL","QB","49.00","13","326.0","",""
"59","","D.J. Moore","BUF","WR","42.46","7","174.0","",""
"60","","Bhayshul Tuten","JAX","RB","53.28","7","186.0","",""
"61","","Jaylen Waddle","DEN","WR","43.54","10","169.0","",""
"62","","Luther Burden III","CHI","WR","46.90","10","165.0","",""
"63","","George Kittle","SF","TE","104.39","8","152.0","",""
"64","","David Montgomery","HOU","RB","47.29","8","198.0","",""
"65","","Jake Ferguson","DAL","TE","122.98","14","130.0","",""
"66","","Marvin Harrison Jr.","ARI","WR","68.71","14","158.0","",""
"67","","Christian Watson","GB","WR","57.57","11","161.0","",""
"68","","Isaiah Likely","NYG","TE","110.18","8","138.0","",""
"69","","Mike Evans","SF","WR","58.31","8","163.0","",""
"70","","Mark Andrews","BAL","TE","128.24","13","135.0","",""
"71","","Dalton Kincaid","BUF","TE","109.20","7","134.0","",""
"72","","Joe Burrow","CIN","QB","58.81","6","309.0","",""
"73","","Alec Pierce","IND","WR","101.58","13","159.0","",""
"74","","TreVeyon Henderson","NE","RB","61.57","11","168.0","",""
"75","","Jalen Hurts","PHI","QB","74.56","10","316.0","",""
"76","","Tony Pollard","TEN","RB","80.65","9","169.0","",""
"77","","Jayden Daniels","WSH","QB","69.21","7","325.0","",""
