Rank,Team,Player,Fantsy Position,Games,Bye,SOS,InjuryRisk,Consensus ProjCons Proj,DS Proj,AuctionMarketValue,DS AuctionValue,3D Value
1,LAR,Puka Nacua,WR,17,11,-3.1%,51%,208,292.90,52.00,54.00,100.00
2,CIN,Ja'Marr Chase,WR,17,6,4%,37%,186,276.80,54.00,55.00,97.50
3,SEA,Jaxon Smith-Njigba,WR,17,11,-0.1%,39%,187,262.30,51.00,50.00,89.40
4,DET,Amon-Ra St. Brown,WR,17,6,-1%,37%,171,258.60,49.00,48.00,84.30
5,DET,Jahmyr Gibbs,RB,17,6,0.9%,54%,273,322.00,46.00,45.00,80.70
6,DAL,CeeDee Lamb,WR,17,14,-0.7%,44%,163,248.70,46.00,45.00,79.80
7,MIN,Justin Jefferson,WR,17,6,4.9%,36%,154,240.80,41.00,42.00,78.30
8,ATL,Bijan Robinson,RB,17,11,-3.2%,25%,274,311.10,45.00,44.00,76.60
9,SF,Christian McCaffrey,RB,17,8,0.7%,78%,241,292.70,39.00,38.00,68.40
10,ATL,Drake London,WR,17,11,0.4%,73%,167,227.70,41.00,40.00,67.50
11,HOU,Nico Collins,WR,17,8,4.4%,49%,153,225.80,33.00,35.00,66.70
12,NE,A.J. Brown,WR,17,11,-2.5%,61%,163,224.40,32.00,34.00,66.00
13,DAL,George Pickens,WR,17,14,-0.7%,36%,160,219.30,32.00,33.00,63.20
14,BUF,Josh Allen,QB,17,7,-3.4%,33%,363,368.70,32.00,33.00,62.90
15,KC,Rashee Rice,WR,17,5,-2.6%,74%,138,226.90,34.00,34.00,62.30
16,IND,Jonathan Taylor,RB,17,13,1.7%,37%,260,276.80,38.00,37.00,58.60
17,LVR,Brock Bowers,TE,17,13,-1%,81%,140,209.10,34.00,34.00,57.80
18,BUF,James Cook,RB,17,7,-4.2%,36%,232,273.70,32.00,32.00,57.70
19,ARI,Trey McBride,TE,17,14,-3.6%,46%,144,200.80,35.00,34.00,54.00
20,NYG,Malik Nabers,WR,16,8,3.7%,39%,121,199.40,28.00,28.00,53.60
21,CIN,Tee Higgins,WR,17,6,4%,66%,147,204.70,22.00,26.00,53.10
22,BAL,Zay Flowers,WR,17,13,-0.3%,36%,137,207.60,26.00,27.00,52.60
23,LVR,Ashton Jeanty,RB,17,13,-3.1%,39%,211,262.20,28.00,28.00,52.10
24,NO,Chris Olave,WR,17,8,0.9%,75%,152,206.70,31.00,30.00,52.00
25,CHI,Colston Loveland,TE,17,10,-3.6%,60%,141,197.40,21.00,24.00,50.70
26,PHI,DeVonta Smith,WR,17,10,6.6%,50%,145,198.70,25.00,26.00,50.60
27,PHI,Saquon Barkley,RB,17,10,4.4%,35%,216,248.00,27.00,27.00,48.20
28,NYJ,Garrett Wilson,WR,17,13,-1%,38%,135,196.90,27.00,27.00,47.90
29,BAL,Derrick Henry,RB,17,13,-0.1%,33%,240,253.10,29.00,28.00,46.40
30,GB,Christian Watson,WR,17,11,1.3%,25%,127,194.00,18.00,22.00,46.30
31,DEN,Jaylen Waddle,WR,17,10,-2.5%,37%,124,193.00,20.00,22.00,45.90
32,IND,Tyler Warren,TE,17,13,1.5%,36%,119,185.90,18.00,21.00,44.70
33,LAR,Davante Adams,WR,17,11,-3.1%,49%,135,193.00,22.00,23.00,44.60
34,KC,Kenneth Walker III,RB,17,5,0.6%,34%,207,243.70,25.00,25.00,43.60
35,CAR,Tetairoa McMillan,WR,17,5,-1.3%,37%,143,185.00,24.00,24.00,42.30
36,TB,Emeka Egbuka,WR,17,10,2.6%,42%,131,183.80,23.00,23.00,42.10
37,BAL,Lamar Jackson,QB,17,13,1.1%,42%,328,329.40,23.00,23.00,41.70
38,SF,Mike Evans,WR,17,8,-3.2%,65%,131,182.80,16.00,19.00,41.40
39,CHI,Luther Burden III,WR,17,10,-2.5%,54%,122,183.40,17.00,19.00,41.30
40,LAC,Ladd McConkey,WR,17,7,-2.6%,42%,138,181.70,20.00,21.00,40.90
41,WAS,Terry McLaurin,WR,17,7,-2.4%,37%,142,181.60,19.00,20.00,40.70
42,MIA,De'Von Achane,RB,17,6,0.8%,68%,219,240.40,31.00,25.00,40.00
43,LAC,Omarion Hampton,RB,17,7,0.6%,73%,196,232.20,23.00,23.00,39.80
44,NE,Drake Maye,QB,17,11,-2.8%,35%,315,329.50,20.00,20.00,38.80
45,CIN,Chase Brown,RB,17,6,-4%,45%,196,237.00,25.00,23.00,38.60
46,DET,Jameson Williams,WR,17,6,-1%,36%,128,178.70,21.00,21.00,38.60
47,GB,Tucker Kraft,TE,17,11,-3.3%,39%,121,164.90,15.00,17.00,38.10
