Salary Cap Values for River City #2
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Puka Nacua (WR - LAR),11,$65,,,,Josh Allen - BUF,7,$39,,,,Jahmyr Gibbs - DET,6,$64,,,,Puka Nacua - LAR,11,$65,,,,Trey McBride - ARI,14,$42,,,,Brandon Aubrey - DAL,14,$1,,,,Houston Texans,8,$2,,,,Travis Hunter - JAC,7,$0,,,,
Jahmyr Gibbs (RB - DET),6,$64,,,,Lamar Jackson - BAL,13,$19,,,,Bijan Robinson - ATL,11,$63,,,,Ja'Marr Chase - CIN,6,$62,,,,Brock Bowers - LV,13,$40,,,,Jason Myers - SEA,11,$1,,,,Denver Broncos,10,$2,,,,,,,,,,
Bijan Robinson (RB - ATL),11,$63,,,,Jalen Hurts - PHI,10,$18,,,,Christian McCaffrey - SF,8,$50,,,,Amon-Ra St. Brown - DET,6,$55,,,,Colston Loveland - CHI,10,$28,,,,Ka'imi Fairbairn - HOU,8,$1,,,,Minnesota Vikings,6,$2,,,,,,,,,,
Ja'Marr Chase (WR - CIN),6,$62,,,,Drake Maye - NE,11,$18,,,,Derrick Henry - BAL,13,$38,,,,Drake London - ATL,11,$45,,,,Tyler Warren - IND,13,$23,,,,Cameron Dicker - LAC,7,$1,,,,Pittsburgh Steelers,9,$2,,,,,,,,,,
Amon-Ra St. Brown (WR - DET),6,$55,,,,Jayden Daniels - WAS,7,$18,,,,De'Von Achane - MIA,6,$37,,,,CeeDee Lamb - DAL,14,$38,,,,Kyle Pitts Sr. - ATL,11,$21,,,,Harrison Mevis - LAR,11,$1,,,,Seattle Seahawks,11,$2,,,,,,,,,,
Christian McCaffrey (RB - SF),8,$50,,,,Jaxson Dart - NYG,8,$12,,,,James Cook III - BUF,7,$35,,,,Rashee Rice - KC,5,$38,,,,Harold Fannin Jr. - CLE,11,$18,,,,Jake Bates - DET,6,$1,,,,Los Angeles Chargers,7,$1,,,,,,,,,,
Drake London (WR - ATL),11,$45,,,,Joe Burrow - CIN,6,$12,,,,Ashton Jeanty - LV,13,$33,,,,Justin Jefferson - MIN,6,$38,,,,Sam LaPorta - DET,6,$17,,,,Cairo Santos - CHI,10,$1,,,,Detroit Lions,6,$1,,,,,,,,,,
Trey McBride (TE - ARI),14,$42,,,,Dak Prescott - DAL,14,$10,,,,Chase Brown - CIN,6,$32,,,,A.J. Brown - NE,11,$32,,,,Dallas Goedert - PHI,10,$16,,,,Blake Grupe - IND,13,$1,,,,Los Angeles Rams,11,$1,,,,,,,,,,
Brock Bowers (TE - LV),13,$40,,,,Caleb Williams - CHI,10,$10,,,,Saquon Barkley - PHI,10,$31,,,,Chris Olave - NO,8,$32,,,,Tucker Kraft - GB,11,$15,,,,Chase McLaughlin - TB,10,$1,,,,Buffalo Bills,7,$1,,,,,,,,,,
Josh Allen (QB - BUF),7,$39,,,,Brock Purdy - SF,8,$10,,,,Kenneth Walker III - KC,5,$28,,,,Nico Collins - HOU,8,$30,,,,Travis Kelce - KC,5,$15,,,,Eddy Pineiro - SF,8,$1,,,,Philadelphia Eagles,10,$1,,,,,,,,,,
Derrick Henry (RB - BAL),13,$38,,,,Trevor Lawrence - JAC,7,$10,,,,Josh Jacobs - GB,11,$27,,,,Zay Flowers - BAL,13,$28,,,,George Kittle - SF,8,$14,,,,Tyler Loop - BAL,13,$1,,,,Atlanta Falcons,11,$1,,,,,,,,,,
CeeDee Lamb (WR - DAL),14,$38,,,,Patrick Mahomes II - KC,5,$9,,,,Breece Hall - NYJ,13,$26,,,,Malik Nabers - NYG,8,$26,,,,Isaiah Likely - NYG,8,$10,,,,Harrison Butker - KC,5,$1,,,,Baltimore Ravens,13,$1,,,,,,,,,,
Rashee Rice (WR - KC),5,$38,,,,Justin Herbert - LAC,7,$8,,,,Omarion Hampton - LAC,7,$26,,,,Garrett Wilson - NYJ,13,$24,,,,Mark Andrews - BAL,13,$9,,,,Cam Little - JAC,7,$0,,,,Chicago Bears,10,$0,,,,,,,,,,
Justin Jefferson (WR - MIN),6,$38,,,,Bo Nix - DEN,10,$8,,,,Jeremiyah Love - ARI,14,$26,,,,DeVonta Smith - PHI,10,$24,,,,Dalton Kincaid - BUF,7,$9,,,,Will Reichard - MIN,6,$0,,,,Cleveland Browns,11,$0,,,,,,,,,,
De'Von Achane (RB - MIA),6,$37,,,,Matthew Stafford - LAR,11,$7,,,,Kyren Williams - LAR,11,$24,,,,Tetairoa McMillan - CAR,5,$24,,,,Jake Ferguson - DAL,14,$8,,,,Evan McPherson - CIN,6,$0,,,,New Orleans Saints,8,$0,,,,,,,,,,
James Cook III (RB - BUF),7,$35,,,,Jared Goff - DET,6,$5,,,,Cam Skattebo - NYG,8,$23,,,,Emeka Egbuka - TB,10,$23,,,,Hunter Henry - NE,11,$6,,,,Nick Folk - ATL,11,$0,,,,Jacksonville Jaguars,7,$0,,,,,,,,,,
Ashton Jeanty (RB - LV),13,$33,,,,Tyler Shough - NO,8,$4,,,,Javonte Williams - DAL,14,$22,,,,Davante Adams - LAR,11,$22,,,,Juwan Johnson - NO,8,$6,,,,Wil Lutz - DEN,10,$0,,,,Cincinnati Bengals,6,$0,,,,,,,,,,
Chase Brown (RB - CIN),6,$32,,,,Baker Mayfield - TB,10,$3,,,,Travis Etienne Jr. - NO,8,$20,,,,Tee Higgins - CIN,6,$21,,,,Brenton Strange - JAC,7,$5,,,,Trey Smack - GB,11,$0,,,,New England Patriots,11,$0,,,,,,,,,,
A.J. Brown (WR - NE),11,$32,,,,Kyler Murray - MIN,6,$2,,,,D'Andre Swift - CHI,10,$19,,,,Jameson Williams - DET,6,$20,,,,Dalton Schultz - HOU,8,$3,,,,Tyler Bass - BUF,7,$0,,,,Tampa Bay Buccaneers,10,$0,,,,,,,,,,
Chris Olave (WR - NO),8,$32,,,,Daniel Jones - IND,13,$2,,,,Bucky Irving - TB,10,$19,,,,Ladd McConkey - LAC,7,$18,,,,T.J. Hockenson - MIN,6,$2,,,,Charlie Smyth - NO,8,$0,,,,Tennessee Titans,9,$0,,,,,,,,,,
Saquon Barkley (RB - PHI),10,$31,,,,Malik Willis - MIA,6,$1,,,,Quinshon Judkins - CLE,11,$17,,,,Rome Odunze - CHI,10,$18,,,,Pat Freiermuth - PIT,9,$2,,,,Drew Stevens - WAS,7,$0,,,,Green Bay Packers,11,$0,,,,,,,,,,
Nico Collins (WR - HOU),8,$30,,,,Jordan Love - GB,11,$1,,,,Bhayshul Tuten - JAC,7,$16,,,,Terry McLaurin - WAS,7,$16,,,,Greg Dulcich - MIA,6,$2,,,,Jake Elliott - PHI,10,$0,,,,Washington Commanders,7,$0,,,,,,,,,,
