"Player","$ Value","Team","Pos","PYard","PTD","Int","RuYard","RuTD","Rec","ReYard","ReTD"
"Puka Nacua","61","LAR","WR","'-","'-","'-","82","1","124","1,504","9"
"Ja'Marr Chase","58","CIN","WR","'-","'-","'-","17","'-","129","1,413","11"
"Jahmyr Gibbs","56","DET","RB","'-","'-","'-","1,367","13","73","616","4"
"Josh Allen","55","BUF","QB","3,766","28","10","608","11","'-","'-","'-"
"Jaxon Smith-Njigba","54","SEA","WR","'-","'-","'-","31","'-","107","1,540","9"
"Bijan Robinson","51","ATL","RB","'-","'-","'-","1,452","9","80","712","4"
"Amon-Ra St. Brown","49","DET","WR","'-","'-","'-","12","'-","119","1,370","10"
"Justin Jefferson","45","MIN","WR","'-","'-","'-","5","'-","105","1,393","7"
"Drake London","42","ATL","WR","'-","'-","'-","'-","'-","100","1,404","9"
"CeeDee Lamb","41","DAL","WR","'-","'-","'-","12","'-","95","1,299","7"
"Christian McCaffrey","40","SF","RB","'-","'-","'-","1,052","8","80","648","4"
"Drake Maye","38","NE","QB","3,900","26","10","514","3","'-","'-","'-"
"Jonathan Taylor","37","IND","RB","'-","'-","'-","1,543","12","42","325","1"
"A.J. Brown","36","NE","WR","'-","'-","'-","'-","'-","93","1,222","7"
"Rashee Rice","35","KC","WR","'-","'-","'-","25","'-","101","1,173","10"
"George Pickens","34","DAL","WR","'-","'-","'-","'-","'-","86","1,197","7"
"Chris Olave","32","NO","WR","'-","'-","'-","'-","'-","90","1,144","8"
"Trey McBride","31","ARI","TE","'-","'-","'-","'-","'-","104","982","6"
"Devon Achane","30","MIA","RB","'-","'-","'-","1,122","6","69","468","3"
"Brock Bowers","29","LV","TE","'-","'-","'-","'-","'-","102","974","7"
"Lamar Jackson","28","BAL","QB","3,481","29","10","630","3","'-","'-","'-"
"Nico Collins","26","HOU","WR","'-","'-","'-","8","'-","81","1,230","7"
"Joe Burrow","25","CIN","QB","4,341","35","10","188","1","'-","'-","'-"
"DeVonta Smith","24","PHI","WR","'-","'-","'-","'-","'-","81","1,066","6"
"Saquon Barkley","22","PHI","RB","'-","'-","'-","1,251","8","44","322","2"
"Jalen Hurts","21","PHI","QB","3,518","23","7","439","8","'-","'-","'-"
"Malik Nabers","20","NYG","WR","'-","'-","'-","7","'-","83","1,094","7"
"Tee Higgins","19","CIN","WR","'-","'-","'-","'-","'-","72","927","9"
"Jayden Daniels","18","WSH","QB","3,786","24","10","654","4","'-","'-","'-"
