,,,,,,,Expert Ranks,,,,,,Passing,,,Rushing,,,Receiving,,
Value,Name,Team,Pos,BYE,Rank,Pts,Consensus,Theo,Ian,Jagger,Jeff,Jim,Yards,TD,INT,ATT,YDS,TD,REC,YDS,TD
58,Jahmyr Gibbs,DET,RB,6,1,345,1,1,1,1,2,3,0,0,0,291.2,1532.4,15.9,61.4,468.7,3.2
55,Bijan Robinson,ATL,RB,11,2,327,2,2,2,2,1,2,0,0,0,321.3,1571.9,10.5,62.9,546.4,3.5
51,Ja'Marr Chase,CIN,WR,6,3,267,3,3,4,3,3,4,0,0,0,4.4,18.7,0.1,114.9,1362.8,11.8
49,Christian McCaffrey,SF,RB,8,4,293,6,7,3,5,8,13,0,0,0,253.2,1086.5,9.1,76.8,627.4,4.7
45,Puka Nacua,LAR,WR,11,5,267,4,4,5,4,4,5,0,0,0,10.5,69.3,0.5,120.1,1477.9,8.2
43,Jonathan Taylor,IND,RB,13,6,306,10,10,11,13,9,17,0,0,0,330.2,1637.7,13.9,36.3,297.5,1.7
42,Jaxon Smith-Njigba,SEA,WR,11,7,250,5,5,6,6,5,8,0,0,0,7.4,33.1,0.2,110.2,1410.7,8.1
42,James Cook,BUF,RB,7,8,269,8,8,9,14,7,12,0,0,0,264.2,1354.6,10.8,40.8,333,2.5
41,Amon-Ra St. Brown,DET,WR,6,9,246,7,6,7,10,6,11,0,0,0,4.6,24.3,0.2,113.9,1263.8,9.9
39,De'Von Achane,MIA,RB,6,10,260,18,16,21,7,20,35,0,0,0,227.9,1264.9,8,53.8,405.1,3
38,CeeDee Lamb,DAL,WR,14,11,225,12,14,16,11,12,20,0,0,0,4.1,22.9,0.2,102.5,1258,7.5
37,Saquon Barkley,PHI,RB,10,12,227,14,22,10,9,15,27,0,0,0,266.4,1163.8,8,38.4,302,2.3
37,Derrick Henry,BAL,RB,13,13,249,20,24,13,17,18,34,0,0,0,287,1440,12.8,16.7,147,0.8
37,Chase Brown,CIN,RB,6,14,239,11,13,8,12,11,28,0,0,0,238.3,1040.4,6.6,61,418.8,3.9
36,Omarion Hampton,LAC,RB,7,15,228,15,17,20,19,10,18,0,0,0,232.9,1045.1,7.6,58.1,375.4,1.8
35,Kenneth Walker,KC,RB,5,16,234,17,12,12,18,19,37,0,0,0,254,1117.9,9,47.9,369.4,1.3
35,Justin Jefferson,MIN,WR,6,17,221,9,9,17,8,14,6,0,0,0,2.4,9.2,0.1,99.7,1321,6.3
35,Ashton Jeanty,LV,RB,13,18,209,25,28,34,34,16,29,0,0,0,254,962.9,6.9,49.2,307.4,2.6
34,Brock Bowers,LV,TE,13,19,215,16,11,14,15,22,32,0,0,0,3.9,15.2,0.1,113.1,1130.4,7.1
34,A.J. Brown,NE,WR,11,20,219,13,19,15,16,13,19,0,0,0,0.7,3.7,0,89,1207.8,8.8
33,Nico Collins,HOU,WR,8,21,223,23,25,18,31,21,38,0,0,0,2.3,11.6,0.1,93.8,1317.8,7.1
33,Josh Allen,BUF,QB,7,22,351,22,38,30,26,32,1,3739.8,25.8,11.3,101.9,528.1,9.4,0,0,0
31,Kyren Williams,LAR,RB,11,23,215,37,48,41,35,26,55,0,0,0,232.7,1096.9,9.1,31.6,233.9,2
31,Trey McBride,ARI,TE,14,24,191,27,26,35,22,31,47,0,0,0,0,0,0,105.8,1031.4,5.7
30,Drake London,ATL,WR,11,25,206,19,15,19,28,17,23,0,0,0,1,4.4,0,88.8,1144,7.8
30,Jeremiyah Love,ARI,RB,14,26,206,32,29,40,25,39,50,0,0,0,207,892,6.7,49.4,366.1,2.6
30,George Pickens,DAL,WR,14,27,212,21,23,28,20,23,31,0,0,0,1,4.2,0,86,1274.4,6.8
30,Josh Jacobs,GB,RB,11,28,214,44,47,32,47,45,64,0,0,0,241.9,1008.6,10.2,34.1,270,1.4
30,Breece Hall,NYJ,RB,13,29,217,34,21,39,33,38,67,0,0,0,235.2,1070.1,6.6,45.2,380.2,1.7
29,Javonte Williams,DAL,RB,14,30,218,33,41,31,24,27,65,0,0,0,267.3,1151.2,8.3,38.7,252.3,1.3
28,Lamar Jackson,BAL,QB,13,31,332,40,67,60,41,46,7,3611.6,26.6,9.4,118.5,688.3,3.7,0,0,0
28,Cam Skattebo,NYG,RB,8,32,189,55,44,57,68,59,63,0,0,0,187.4,814.2,8.1,36.1,305.2,1.6
27,Chris Olave,NO,WR,8,33,190,24,18,23,23,28,42,0,0,0,0.8,3.4,0,89.5,1047.6,6.6
27,DeVonta Smith,PHI,WR,10,34,194,28,30,24,37,25,49,0,0,0,0.8,3.6,0,90.6,1079.9,6.7
26,Colston Loveland,CHI,TE,10,35,183,36,27,33,32,42,68,0,0,0,0.9,3.8,0,80.2,989.5,7.3
26,Tee Higgins,CIN,WR,6,36,200,39,34,29,60,34,60,0,0,0,1,4.6,0,74.6,995.6,10.3
26,Zay Flowers,BAL,WR,13,37,212,29,31,27,21,41,48,0,0,0,6.7,37.6,0.3,95.8,1210.6,6.2
26,Travis Etienne,NO,RB,8,38,194,41,42,43,42,37,61,0,0,0,241,1049.9,6.5,31.1,248.1,1.7
25,Rashee Rice,KC,WR,5,39,187,47,33,37,92,55,43,0,0,0,7.2,30.5,0.3,93.2,954.2,6.7
24,David Montgomery,HOU,RB,8,40,212,63,56,44,108,40,70,0,0,0,243.5,1000.8,9.8,35.2,271.4,1.4
23,Malik Nabers,NYG,WR,8,41,182,26,20,22,36,24,44,0,0,0,2.6,9.7,0.1,87.9,945.7,6.9
23,D'Andre Swift,CHI,RB,10,42,194,49,49,42,43,58,73,0,0,0,211.6,975.1,7.1,36.6,276.7,1.2
23,TreVeyon Henderson,NE,RB,11,43,173,68,61,74,52,60,96,0,0,0,162.9,790.8,7.7,34.1,229.9,1.4
23,Bucky Irving,TB,RB,10,44,180,66,65,59,54,64,94,0,0,0,210,853.7,5.5,38.7,324.3,1.6
23,Drake Maye,NE,QB,11,45,327,43,62,61,44,53,10,4118.3,27,12.7,86.4,469,3.3,0,0,0
21,Jaylen Waddle,DEN,WR,10,46,189,31,35,25,27,36,58,0,0,0,3.5,18.2,0.1,84.4,1070.6,6.3
21,Ladd McConkey,LAC,WR,7,47,182,30,39,26,29,35,51,0,0,0,1.7,7.6,0.1,82.6,1014.9,6.3
21,Garrett Wilson,NYJ,WR,13,48,185,38,32,46,30,43,59,0,0,0,2.9,10.6,0.1,85,970,7.2
21,Tetairoa McMillan,CAR,WR,5,49,180,42,36,45,50,30,66,0,0,0,1.3,5.9,0,73.2,1044.4,6.3
20,Quinshon Judkins,CLE,RB,11,50,180,54,50,58,65,44,71,0,0,0,237.2,974.4,7.7,27,189.2,0.7
20,Joe Burrow,CIN,QB,6,51,318,46,77,64,46,62,9,4129.6,34.7,12.2,44,168.5,1.6,0,0,0
20,Tyler Warren,IND,TE,13,52,156,52,37,48,63,57,75,0,0,0,6.4,26.2,0.3,70.8,773.7,6.5
20,Jadarian Price,SEA,RB,11,53,167,65,55,56,64,66,95,0,0,0,210,916.9,6.6,18.1,146.8,1
20,Jaylen Warren,PIT,RB,9,54,191,75,76,72,75,78,88,0,0,0,190.5,895.4,4.5,50.5,399.4,1.5
20,Jalen Hurts,PHI,QB,10,55,317,58,87,63,51,79,22,3317,22.1,10.4,114.4,515.9,9.1,0,0,0
19,Tucker Kraft,GB,TE,11,56,167,72,73,79,62,61,89,0,0,0,0,0,0,68,843.8,8.1
19,Emeka Egbuka,TB,WR,10,57,168,35,40,36,39,29,54,0,0,0,4,18,0.1,65.9,919,6.7
19,Sam LaPorta,DET,TE,6,58,163,80,75,80,61,99,101,0,0,0,1,4.4,0,77,823.6,7
19,Luther Burden,CHI,WR,10,59,177,45,43,38,38,48,77,0,0,0,10.7,55,0.4,78.6,1000.7,5.1
19,Jayden Daniels,WAS,QB,7,60,317,48,68,62,40,69,24,3445.7,21.9,9.3,127.5,703.7,5,0,0,0
18,Bhayshul Tuten,JAX,RB,7,61,160,73,57,55,94,63,97,0,0,0,168.1,655.5,6.8,31.5,252.9,2.1
